PROVINCE,DISTRICT,TEHSIL,Union Council
Khyber Pakhtunkhwa,Bannu,Bannu,Mitha Khel
Khyber Pakhtunkhwa,Bannu,Bannu,Mohammad Khel Wazir
Khyber Pakhtunkhwa,Bannu,Bannu,Nizam Dherma Khel
Khyber Pakhtunkhwa,Bannu,Bannu,Nurar
Khyber Pakhtunkhwa,Bannu,Bannu,Serai Nauring
Khyber Pakhtunkhwa,Bannu,Bannu,Shahbaz Azmat Khel
Khyber Pakhtunkhwa,Bannu,Bannu,Shamshi Khel
Khyber Pakhtunkhwa,Bannu,Bannu,Sikander Khel
Khyber Pakhtunkhwa,Bannu,Bannu,Sukari Jabbar
Khyber Pakhtunkhwa,Bannu,Bannu,Zargar Mama
Khyber Pakhtunkhwa,Swat,Barikot,Barikot
Khyber Pakhtunkhwa,Swat,Barikot,Ghaligay
Khyber Pakhtunkhwa,Swat,Barikot,Kota
Khyber Pakhtunkhwa,Swat,Barikot,Shamozi
Khyber Pakhtunkhwa,Batagram,Batagram,Ajmeerah
Khyber Pakhtunkhwa,Batagram,Batagram,Banian
Khyber Pakhtunkhwa,Batagram,Batagram,Batagram
Khyber Pakhtunkhwa,Batagram,Batagram,Batta Mohri
Khyber Pakhtunkhwa,Batagram,Batagram,Ganjbori
Khyber Pakhtunkhwa,Batagram,Batagram,Kuza Banda
Khyber Pakhtunkhwa,Batagram,Batagram,Paimal Sharif
Khyber Pakhtunkhwa,Batagram,Batagram,Pashora
Khyber Pakhtunkhwa,Batagram,Batagram,Raj Dahari
Khyber Pakhtunkhwa,Batagram,Batagram,Shamlai
Khyber Pakhtunkhwa,Batagram,Batagram,Tarand
Khyber Pakhtunkhwa,Batagram,Batagram,Thakot
Khyber Pakhtunkhwa,Shangla,Bisham,Botial
Khyber Pakhtunkhwa,Shangla,Bisham,Dandai
Khyber Pakhtunkhwa,Shangla,Bisham,Maira
Khyber Pakhtunkhwa,Buner,Chagharzai,Batara
Khyber Pakhtunkhwa,Buner,Chagharzai,Gulbandai
Khyber Pakhtunkhwa,Buner,Chagharzai,Pandair
Khyber Pakhtunkhwa,Buner,Chagharzai,Soray
Khyber Pakhtunkhwa,Buner,Chamla,Amazai
Khyber Pakhtunkhwa,Buner,Chamla,Koga
Khyber Pakhtunkhwa,Buner,Chamla,Makhranai
Khyber Pakhtunkhwa,Buner,Chamla,Nawagai
Khyber Pakhtunkhwa,Swat,Charbagh,Charbagh
Khyber Pakhtunkhwa,Swat,Charbagh,Gulibagh
Khyber Pakhtunkhwa,Swat,Charbagh,Kashora
Khyber Pakhtunkhwa,Swat,Charbagh,Taligram
Khyber Pakhtunkhwa,Charsadda,Charsadda,Agra
Khyber Pakhtunkhwa,Charsadda,Charsadda,Batgram
Khyber Pakhtunkhwa,Charsadda,Charsadda,Behlola
Khyber Pakhtunkhwa,Charsadda,Charsadda,Chindro Dag
Khyber Pakhtunkhwa,Charsadda,Charsadda,Dargai
Khyber Pakhtunkhwa,Charsadda,Charsadda,Daulatpura
Khyber Pakhtunkhwa,Charsadda,Charsadda,Dheri Zardad Khan
Khyber Pakhtunkhwa,Charsadda,Charsadda,Dusara
Khyber Pakhtunkhwa,Charsadda,Charsadda,Ghunda Karkana
Khyber Pakhtunkhwa,Charsadda,Charsadda,Haji Zai
Khyber Pakhtunkhwa,Charsadda,Charsadda,Hassan Zai
Khyber Pakhtunkhwa,Charsadda,Charsadda,Hissara Yasinzai
Khyber Pakhtunkhwa,Charsadda,Charsadda,Kangra
Khyber Pakhtunkhwa,Charsadda,Charsadda,Katuzai
Khyber Pakhtunkhwa,Charsadda,Charsadda,Khan Mahi
Khyber Pakhtunkhwa,Charsadda,Charsadda,Maira Prang
Khyber Pakhtunkhwa,Charsadda,Charsadda,Maira Umarzai
Khyber Pakhtunkhwa,Charsadda,Charsadda,Matta Mughal Khel
Khyber Pakhtunkhwa,Charsadda,Charsadda,Mohammad Nari
Khyber Pakhtunkhwa,Charsadda,Charsadda,Nissatta
Khyber Pakhtunkhwa,Charsadda,Charsadda,Panjpao
Khyber Pakhtunkhwa,Charsadda,Charsadda,Rashkai
Khyber Pakhtunkhwa,Charsadda,Charsadda,Razar-i
Khyber Pakhtunkhwa,Charsadda,Charsadda,Razar-ii
Khyber Pakhtunkhwa,Charsadda,Charsadda,Sarki Titara
Khyber Pakhtunkhwa,Charsadda,Charsadda,Sheikhu
Khyber Pakhtunkhwa,Charsadda,Charsadda,Tarnab
Khyber Pakhtunkhwa,Charsadda,Charsadda,Turang Zai
Khyber Pakhtunkhwa,Charsadda,Charsadda,Umar Zai
Khyber Pakhtunkhwa,Shangla,Chiksar,Bunerwal
Khyber Pakhtunkhwa,Shangla,Chiksar,Chakisar
Khyber Pakhtunkhwa,Shangla,Chiksar,Opel
Khyber Pakhtunkhwa,Shangla,Chiksar,Sarkul
Khyber Pakhtunkhwa,Buner,Daggar,Daggar
Khyber Pakhtunkhwa,Buner,Daggar,Elai
Khyber Pakhtunkhwa,Buner,Daggar,Gokand
Khyber Pakhtunkhwa,Buner,Daggar,Karapa
Khyber Pakhtunkhwa,Buner,Daggar,Torwarsak
Khyber Pakhtunkhwa,Dera Ismail Khan,Daraban,Chaudhawan
Khyber Pakhtunkhwa,Dera Ismail Khan,Daraban,Daraban
Khyber Pakhtunkhwa,Dera Ismail Khan,Daraban,Gara Isa Khan
Khyber Pakhtunkhwa,Dera Ismail Khan,Daraban,Kiri Shamozai
Khyber Pakhtunkhwa,Dera Ismail Khan,Daraban,Musa Zai Sharif
Khyber Pakhtunkhwa,Kohistan,Dassu,Bar Jalkot
Khyber Pakhtunkhwa,Kohistan,Dassu,Bariyar
Khyber Pakhtunkhwa,Kohistan,Dassu,Basha
Khyber Pakhtunkhwa,Kohistan,Dassu,Dassu
Khyber Pakhtunkhwa,Kohistan,Dassu,Gabral
Khyber Pakhtunkhwa,Kohistan,Dassu,Goshli
Khyber Pakhtunkhwa,Kohistan,Dassu,Gujar Banda
Khyber Pakhtunkhwa,Kohistan,Dassu,Harban
Khyber Pakhtunkhwa,Kohistan,Dassu,Jajshoi
Khyber Pakhtunkhwa,Kohistan,Dassu,Karang
Khyber Pakhtunkhwa,Kohistan,Dassu,Kareen
Khyber Pakhtunkhwa,Kohistan,Dassu,Komila
Khyber Pakhtunkhwa,Kohistan,Dassu,Kuz Jalkot
Khyber Pakhtunkhwa,Kohistan,Dassu,Kuz Parwa
Khyber Pakhtunkhwa,Kohistan,Dassu,Loi
Khyber Pakhtunkhwa,Kohistan,Dassu,Sazeen
Khyber Pakhtunkhwa,Kohistan,Dassu,Seo
Khyber Pakhtunkhwa,Kohistan,Dassu,Siglo
Khyber Pakhtunkhwa,Kohistan,Dassu,Thoti
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Band Korai
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Chahkan
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Dewala
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Giloti
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Kech
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Korai
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Kotla Saidan
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Lachhra
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Lunda Sharif
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Mahra
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Malana
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Mandhra
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Miran
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Muriali
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Naivela
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Paniala Town
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Paroa
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Ratta Kulachi
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Shor Kot
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Wanda Khan Mohammad
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Yarik
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Zindani
Khyber Pakhtunkhwa,Bannu,Domel,Aral Hathi Khel
Khyber Pakhtunkhwa,Bannu,Domel,Asperka Waziran
Khyber Pakhtunkhwa,Bannu,Domel,Baharat
Khyber Pakhtunkhwa,Bannu,Domel,Bizan Khel
Khyber Pakhtunkhwa,Bannu,Domel,Kakki
Khyber Pakhtunkhwa,Bannu,Domel,Karab Kala
Khyber Pakhtunkhwa,Bannu,Domel,Khojari
Khyber Pakhtunkhwa,Bannu,Domel,Serai Nauring
Khyber Pakhtunkhwa,Buner,Gagra,Dewana Bala
Khyber Pakhtunkhwa,Buner,Gagra,Gagra
Khyber Pakhtunkhwa,Buner,Gagra,Norezai
Khyber Pakhtunkhwa,Buner,Gagra,Rega
Khyber Pakhtunkhwa,Buner,Gagra,Shalbandai
Khyber Pakhtunkhwa,Haripur,Ghazi,Bait Gali
Khyber Pakhtunkhwa,Haripur,Ghazi,Ghazi
Khyber Pakhtunkhwa,Haripur,Ghazi,Kotehra
Khyber Pakhtunkhwa,Haripur,Ghazi,Kundi
Khyber Pakhtunkhwa,Haripur,Ghazi,Nara Amazai
Khyber Pakhtunkhwa,Haripur,Ghazi,Qazi Pur
Khyber Pakhtunkhwa,Haripur,Ghazi,Siri Kot
Khyber Pakhtunkhwa,Haripur,Ghazi,Tarbela
Khyber Pakhtunkhwa,Haripur,Haripur,Ali Khan
Khyber Pakhtunkhwa,Haripur,Haripur,Bagra
Khyber Pakhtunkhwa,Haripur,Haripur,Baka
Khyber Pakhtunkhwa,Haripur,Haripur,Bandi Sher Khan
Khyber Pakhtunkhwa,Haripur,Haripur,Bareela
Khyber Pakhtunkhwa,Haripur,Haripur,Barkot
Khyber Pakhtunkhwa,Haripur,Haripur,Bherrary
Khyber Pakhtunkhwa,Haripur,Haripur,Bir
Khyber Pakhtunkhwa,Haripur,Haripur,Darwesh
Khyber Pakhtunkhwa,Haripur,Haripur,Dheenda
Khyber Pakhtunkhwa,Haripur,Haripur,Dingi
Khyber Pakhtunkhwa,Haripur,Haripur,Hattar
Khyber Pakhtunkhwa,Haripur,Haripur,Jabri
Khyber Pakhtunkhwa,Haripur,Haripur,Jatti Pind
Khyber Pakhtunkhwa,Haripur,Haripur,Kalinjar
Khyber Pakhtunkhwa,Haripur,Haripur,Khan Pur
Khyber Pakhtunkhwa,Haripur,Haripur,Kholian Bala
Khyber Pakhtunkhwa,Haripur,Haripur,Kot Najibullah
Khyber Pakhtunkhwa,Haripur,Haripur,Ladar Mang
Khyber Pakhtunkhwa,Haripur,Haripur,Manakrai
Khyber Pakhtunkhwa,Haripur,Haripur,Maqsood
Khyber Pakhtunkhwa,Haripur,Haripur,Najaf Pur
Khyber Pakhtunkhwa,Haripur,Haripur,Pandik
Khyber Pakhtunkhwa,Haripur,Haripur,Panian
Khyber Pakhtunkhwa,Haripur,Haripur,Pind Hasham Khan
Khyber Pakhtunkhwa,Haripur,Haripur,Pind Kamal Khan
Khyber Pakhtunkhwa,Haripur,Haripur,Rehana
Khyber Pakhtunkhwa,Haripur,Haripur,Sarai Niamat Khan
Khyber Pakhtunkhwa,Haripur,Haripur,Sarai Saleh
Khyber Pakhtunkhwa,Haripur,Haripur,Sikander Pur
Khyber Pakhtunkhwa,Haripur,Haripur,Sirya
Khyber Pakhtunkhwa,Haripur,Haripur,Tofkian
Khyber Pakhtunkhwa,Haripur,Haripur,Urban
Khyber Pakhtunkhwa,Swat,Kabal,Bar Aba Khel Kabal
Khyber Pakhtunkhwa,Swat,Kabal,Barabandi
Khyber Pakhtunkhwa,Swat,Kabal,Devli
Khyber Pakhtunkhwa,Swat,Kabal,Hazara
Khyber Pakhtunkhwa,Swat,Kabal,Kalakalay
Khyber Pakhtunkhwa,Swat,Kabal,Kanjo
Khyber Pakhtunkhwa,Swat,Kabal,Koz Abakhel Kabal
Khyber Pakhtunkhwa,Swat,Kabal,Kozabandi
Khyber Pakhtunkhwa,Swat,Kabal,Qalagay
Khyber Pakhtunkhwa,Swat,Kabal,Shahderi
Khyber Pakhtunkhwa,Swat,Kabal,Tal
Khyber Pakhtunkhwa,Swat,Kabal,Totanobandi
Khyber Pakhtunkhwa,Swat,Kalam,Kalam
Khyber Pakhtunkhwa,Swat,Kalam,Utrur
Khyber Pakhtunkhwa,Karak,Karak,Ghundi Mira Khan Khel
Khyber Pakhtunkhwa,Karak,Karak,Isak Chountra
Khyber Pakhtunkhwa,Karak,Karak,Jandri
Khyber Pakhtunkhwa,Karak,Karak,Karak (northern)
Khyber Pakhtunkhwa,Karak,Karak,Karak (southern)
Khyber Pakhtunkhwa,Karak,Karak,Latambar
Khyber Pakhtunkhwa,Karak,Karak,Mitha Khel
Khyber Pakhtunkhwa,Karak,Karak,Paloosa Sar
Khyber Pakhtunkhwa,Karak,Karak,Sabir Abad
Khyber Pakhtunkhwa,Mardan,Katlang,Alo
Khyber Pakhtunkhwa,Mardan,Katlang,Babozai
Khyber Pakhtunkhwa,Mardan,Katlang,Dehri
Khyber Pakhtunkhwa,Mardan,Katlang,Dheri
Khyber Pakhtunkhwa,Mardan,Katlang,Jamal Garhi
Khyber Pakhtunkhwa,Mardan,Katlang,Kati Garhi
Khyber Pakhtunkhwa,Mardan,Katlang,Katlang-ii
Khyber Pakhtunkhwa,Mardan,Katlang,Kharki
Khyber Pakhtunkhwa,Mardan,Katlang,Kohi Barmol
Khyber Pakhtunkhwa,Mardan,Katlang,Qasmi
Khyber Pakhtunkhwa,Mardan,Katlang,Sawal Dher
Khyber Pakhtunkhwa,Mardan,Katlang,Shamozai
Khyber Pakhtunkhwa,Swat,Khwazakhela,Fatehpur
Khyber Pakhtunkhwa,Swat,Khwazakhela,Jano Chamtail
Khyber Pakhtunkhwa,Swat,Khwazakhela,Khwazakhela
Khyber Pakhtunkhwa,Swat,Khwazakhela,Kotanai
Khyber Pakhtunkhwa,Swat,Khwazakhela,Miandam
Khyber Pakhtunkhwa,Swat,Khwazakhela,Shalpeen
Khyber Pakhtunkhwa,Swat,Khwazakhela,Shin
Khyber Pakhtunkhwa,Kohat,Kohat,Bahadur Kot
Khyber Pakhtunkhwa,Kohat,Kohat,Bili Tang
Khyber Pakhtunkhwa,Kohat,Kohat,Chor Laki
Khyber Pakhtunkhwa,Kohat,Kohat,Dodha
Khyber Pakhtunkhwa,Kohat,Kohat,Gumbat
Khyber Pakhtunkhwa,Kohat,Kohat,Jarma
Khyber Pakhtunkhwa,Kohat,Kohat,Kharmatu
Khyber Pakhtunkhwa,Kohat,Kohat,Khushal Garh
Khyber Pakhtunkhwa,Kohat,Kohat,Kohat (urban) Uc-
Khyber Pakhtunkhwa,Kohat,Kohat,Mohammad Zai
Khyber Pakhtunkhwa,Kohat,Kohat,Nasrat Khel
Khyber Pakhtunkhwa,Kohat,Kohat,Shah Pur
Khyber Pakhtunkhwa,Kohat,Kohat,Sher Kot
Khyber Pakhtunkhwa,Kohat,Kohat,Sur Gul
Khyber Pakhtunkhwa,Kohat,Kohat,Togh Bala
Khyber Pakhtunkhwa,Kohat,Kohat,Unknown
Khyber Pakhtunkhwa,Kohat,Kohat,Urban
Khyber Pakhtunkhwa,Kohat,Kohat,Urban-ii
Khyber Pakhtunkhwa,Kohat,Kohat,Usturzai
Khyber Pakhtunkhwa,Dera Ismail Khan,Kulachi,Hathala
Khyber Pakhtunkhwa,Dera Ismail Khan,Kulachi,Luni
Khyber Pakhtunkhwa,Dera Ismail Khan,Kulachi,Maddi
Khyber Pakhtunkhwa,Kohat,Lachi,Lachi (rural)
Khyber Pakhtunkhwa,Kohat,Lachi,Mandoori
Khyber Pakhtunkhwa,Kohat,Lachi,Shakar Dara
Khyber Pakhtunkhwa,Kohat,Lachi,Shakardara Urban
Khyber Pakhtunkhwa,Kohat,Lachi,Soodal
Khyber Pakhtunkhwa,Kohat,Lachi,Urban
Khyber Pakhtunkhwa,Swabi,Lahor,Anbar
Khyber Pakhtunkhwa,Swabi,Lahor,Beka
Khyber Pakhtunkhwa,Swabi,Lahor,Dhobian
Khyber Pakhtunkhwa,Swabi,Lahor,Jalsai
Khyber Pakhtunkhwa,Swabi,Lahor,Jehangira
Khyber Pakhtunkhwa,Swabi,Lahor,Kunda
Khyber Pakhtunkhwa,Swabi,Lahor,Lahoer Raporai
Khyber Pakhtunkhwa,Swabi,Lahor,Lahore Porai
Khyber Pakhtunkhwa,Swabi,Lahor,Mankai
Khyber Pakhtunkhwa,Swabi,Lahor,Matani Changan
Khyber Pakhtunkhwa,Swabi,Lahor,Sard China
Khyber Pakhtunkhwa,Swabi,Lahor,Suddhar
Khyber Pakhtunkhwa,Swabi,Lahor,Tordher
Khyber Pakhtunkhwa,Swabi,Lahor,Yaqubi
Khyber Pakhtunkhwa,Swabi,Lahor,Yar Hussain East
Khyber Pakhtunkhwa,Swabi,Lahor,Yar Hussain West
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Aba Khel
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Abdul Khel
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Ahmad Khel
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Bakhmal Ahmadzai
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Begu Khel
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Behram Khel
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Dara Tang
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Darka Sulman Khel
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Darrah Paizo
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Ghazni Khel
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Isak Khel
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Kaka Khel
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Khero Khel Pacca
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Khuidad Khel (urban)
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Kot Kashmir
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Lakki (urban)
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Landi Wah
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Mash Masti Khani
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Masha Mansoor
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Michan Khel Tal (urban)
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Pahar Khel Tall
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Said Khel (urban)
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Samandi
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Shahab Khel
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Taja Zai
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Tajori
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,Tattar Khel Gulijan
Khyber Pakhtunkhwa,Mansehra,Mansehra,Attar Shisha
Khyber Pakhtunkhwa,Mansehra,Mansehra,Battal
Khyber Pakhtunkhwa,Mansehra,Mansehra,Behali
Khyber Pakhtunkhwa,Mansehra,Mansehra,Bheer Kund
Khyber Pakhtunkhwa,Mansehra,Mansehra,Bhogar Mang
Khyber Pakhtunkhwa,Mansehra,Mansehra,Chater Piain
